Date,TempLow,TempHigh,TempMean,RHLow,RHHigh,SolarRadiation,WindSpeed,Rainfall,CumulativeRainfall,ETRef,ETCrop,Irrigation,NetWater,CumNet
05/01/22,41.7,47.6,44.65,80.1,94.3,50.77,0.05,0,0,0.04,0.04,0,-0.04,-0.04
05/02/22,39.4,50.1,44.75,56.6,83.9,128.2,0,0,0,0.07,0.07,0,-0.07,-0.1
05/03/22,42.3,59,50.65,46,75.4,258.94,0,0,0,0.12,0.12,0,-0.12,-0.22
05/04/22,35.9,65.4,50.65,43.3,77.3,254.22,0,0,0,0.12,0.12,0,-0.12,-0.34
05/05/22,43.9,66.9,55.4,43,75.5,147.55,0,0,0,0.09,0.09,0,-0.09,-0.43
05/06/22,42.9,73.3,58.1,27.7,79.1,292.7,0,0,0,0.15,0.15,0,-0.15,-0.58
05/07/22,50.7,74,62.35,30.6,66.1,284.02,0.26,0,0,0.15,0.15,0,-0.15,-0.73
05/08/22,51.8,66.1,58.95,43.3,80.3,91.99,0.27,0.01,0.01,0.07,0.07,0,-0.06,-0.79
05/09/22,56.6,82.4,69.5,57.9,74.7,95.31,0.18,0,0.01,0.08,0.08,0,-0.08,-0.87
05/10/22,58.3,79.8,69.05,32.5,69.6,327.77,0,0,0.01,0.19,0.19,0,-0.19,-1.06
05/11/22,61.7,78.1,69.9,35.6,94.4,99.38,0.11,0.01,0.02,0.09,0.09,0,-0.08,-1.14
05/12/22,58.1,92.7,75.4,39.5,95.6,195.34,0.08,0,0.02,0.14,0.14,0,-0.14,-1.28
05/13/22,61,74.7,67.85,43.2,92.9,254.26,0,0.4,0.42,0.15,0.15,0,0.25,-1.03
05/14/22,55.8,73.9,64.85,38.8,76.5,268.06,0.02,0,0.42,0.15,0.15,0,-0.15,-1.18
05/15/22,50.9,73.1,62,33.8,75.9,226.88,0.01,0,0.42,0.13,0.13,0,-0.13,-1.32
05/16/22,52.3,69.8,61.05,36.4,71.6,298.08,0,0,0.42,0.16,0.16,0,-0.16,-1.47
05/17/22,46.7,74.9,60.8,38.3,87.1,224.43,0,0.04,0.46,0.13,0.13,0,-0.09,-1.56
05/18/22,54.6,73.8,64.2,45.8,90.8,225.11,0,0.06,0.52,0.13,0.13,0,-0.07,-1.64
05/19/22,48.9,71.7,60.3,50.9,91.8,187.61,0,0.61,1.13,0.11,0.11,0,0.5,-1.14
05/20/22,47,64,55.5,53.8,91.4,140.58,0.01,0.05,1.18,0.09,0.09,0,-0.04,-1.18
05/21/22,41.9,55,48.45,47.4,70.1,172.72,0,0,1.18,0.09,0.09,0,-0.09,-1.26
05/22/22,38,57.6,47.8,40.8,74.8,194.66,0,0,1.18,0.1,0.1,0,-0.1,-1.36
05/23/22,41.7,66.9,54.3,34.3,76.2,294.16,0,0,1.18,0.14,0.14,0,-0.14,-1.51
05/24/22,49.5,69.9,59.7,32.5,66.8,263.5,0,0,1.18,0.14,0.14,0,-0.14,-1.65
05/25/22,46.4,60,53.2,55.3,93.1,34.82,0,0.6,1.78,0.04,0.04,0,0.56,-1.09
05/26/22,45.4,61.1,53.25,62.4,92.6,115.89,0,0.04,1.82,0.07,0.07,0,-0.03,-1.12
05/27/22,43.3,77.9,60.6,45,95.2,304.54,0,0,1.82,0.17,0.17,0,-0.17,-1.29
05/28/22,58.6,90.3,74.45,43,85.1,207.29,0.25,0.16,1.98,0.15,0.15,0,0.01,-1.28
05/29/22,64.2,81.2,72.7,61,86.5,148.63,0.25,0.01,1.99,0.11,0.11,0,-0.1,-1.38
05/30/22,64.2,86.6,75.4,46.4,91.3,139.03,0.55,0.61,2.6,0.11,0.11,0,0.5,-0.88
05/31/22,56.8,70.6,63.7,49.6,76.8,148.14,0.28,0.01,2.61,0.1,0.1,0,-0.09,-0.97
06/01/22,48.3,68.8,58.55,43.2,92.6,261.76,0,0,2.61,0.14,0.14,0,-0.14,-1.11
06/02/22,51,75.5,63.25,30.5,68.7,296.57,0.14,0,2.61,0.17,0.17,0,-0.17,-1.28
06/03/22,50.3,69.6,59.95,31.8,63.9,327.4,0,0,2.61,0.17,0.17,0,-0.17,-1.45
06/04/22,52.9,72,62.45,49.4,75.1,239,0,0,2.61,0.14,0.14,0,-0.14,-1.59
06/05/22,56.2,72.8,64.5,55.8,87.3,183.59,0,0,2.61,0.12,0.12,0,-0.12,-1.71
06/06/22,56.8,76.3,66.55,47.4,92.1,259.05,0,0.14,2.75,0.16,0.16,0,-0.02,-1.72
06/07/22,54.4,71.3,62.85,43.5,76.9,150.27,0,0,2.75,0.1,0.1,0,-0.1,-1.83
06/08/22,52.1,71.2,61.65,35.7,85.4,20.35,0,0,2.75,0.05,0.05,0,-0.05,-1.88
06/09/22,50.5,79.4,64.95,33.3,75.9,280.46,0,0,2.75,0.17,0.17,0,-0.17,-2.04
06/10/22,56.4,81,68.7,33.9,79.1,201.22,0,0,2.75,0.14,0.14,0,-0.14,-2.18
06/11/22,63.6,80.5,72.05,55.8,86.2,185.12,0,0.04,2.79,0.13,0.13,0,-0.09,-2.27
06/12/22,60.4,78.3,69.35,63,84,179.66,0,0,2.79,0.12,0.12,0,-0.12,-2.39
06/13/22,66.3,80,73.15,70.6,92.2,114.38,0,0.11,2.9,0.09,0.09,0,0.02,-2.37
06/14/22,70.7,93.7,82.2,47.7,90.7,248.92,0.47,0,2.9,0.18,0.18,0,-0.18,-2.56
06/15/22,64,79.1,71.55,57.6,87.3,108.42,0,0.23,3.13,0.09,0.09,0,0.14,-2.42
06/16/22,64.7,78.8,71.75,50.5,74.8,242.83,0.14,0,3.13,0.16,0.16,0,-0.16,-2.57
06/17/22,59.5,83.1,71.3,37.5,80.2,321.01,0,0,3.13,0.2,0.2,0,-0.2,-2.77
06/18/22,60.3,82.6,71.45,43.1,68.4,304.44,0.16,0,3.13,0.19,0.19,0,-0.19,-2.96
06/19/22,68.7,95.7,82.2,46.2,63.8,299.57,0.25,0,3.13,0.21,0.21,0,-0.21,-3.17
06/20/22,77.3,99.5,88.4,46.3,77.7,288.62,0.18,0,3.13,0.22,0.22,0,-0.22,-3.4
06/21/22,70.1,86.7,78.4,36.2,92.8,306.32,0.01,0.07,3.2,0.21,0.21,0,-0.14,-3.53
06/22/22,65.2,83.7,74.45,45,72.3,282.28,0.41,0,3.2,0.18,0.18,0,-0.18,-3.72
06/23/22,66.5,93.9,80.2,30.8,71.5,297.9,3.54,0,3.2,0.25,0.25,0,-0.25,-3.97
06/24/22,66,90.5,78.25,53.8,83.4,243.06,3.51,0.03,3.23,0.2,0.2,0,-0.17,-4.13
06/25/22,65.3,80.3,72.8,52.2,91.6,181.31,2.35,0.21,3.44,0.14,0.14,0,0.07,-4.06
06/26/22,58.1,72.2,65.15,42.5,72.1,264.91,2.74,0,3.44,0.17,0.17,0,-0.17,-4.23
06/27/22,53,83.7,68.35,36.5,81.1,297.84,0.64,0,3.44,0.18,0.18,0,-0.18,-4.41
06/28/22,63,85,74,44.5,83.7,279.43,1.26,0.15,3.59,0.18,0.18,0,-0.03,-4.45
06/29/22,54.3,89.9,72.1,42.5,87.1,110.61,3.53,0,3.59,0.14,0.14,0,-0.14,-4.58
06/30/22,68.6,89.5,79.05,41.4,78.8,233.92,3.33,0.05,3.64,0.2,0.2,0,-0.15,-4.73
07/01/22,61.5,81.6,71.55,37,76.3,289.77,1.16,0,3.64,0.18,0.18,0,-0.18,-4.92
07/02/22,61.4,79.9,70.65,52.2,81.2,177.05,0.02,0.03,3.67,0.12,0.12,0,-0.09,-5.01
07/03/22,61.7,84.2,72.95,49.6,93.3,153.48,0.4,0.32,3.99,0.12,0.12,0,0.2,-4.81
07/04/22,68.6,90.2,79.4,56.2,91.4,174.02,0.78,0.25,4.24,0.13,0.13,0,0.12,-4.69
07/05/22,70.2,87,78.6,58.8,95.1,203.22,0.46,0,4.24,0.15,0.15,0,-0.15,-4.84
07/06/22,63.8,84,73.9,56.1,87.3,178.48,0.32,0,4.24,0.13,0.13,0,-0.13,-4.97
07/07/22,67.6,87.6,77.6,56.4,93.6,164.04,0.05,0.03,4.27,0.13,0.13,0,-0.1,-5.06
07/08/22,69.6,84.7,77.15,58.5,93.3,203.45,0.22,0.08,4.35,0.15,0.15,0,-0.07,-5.13
07/09/22,63.4,88.7,76.05,49.2,93.5,278.99,0.92,0,4.35,0.19,0.19,0,-0.19,-5.32
07/10/22,69.1,82.4,75.75,65.2,86.4,133.47,1.68,0.11,4.46,0.11,0.11,0,0,-5.32
07/11/22,67.7,84,75.85,48.2,93.4,243.54,1.94,0,4.46,0.17,0.17,0,-0.17,-5.49
07/12/22,61.3,84.3,72.8,41.2,93.6,241.43,1.05,0.25,4.71,0.16,0.16,0,0.09,-5.4
07/13/22,59.6,76.4,68,58.8,95.5,295.6,0.48,0.01,4.72,0.17,0.17,0,-0.16,-5.56
07/14/22,57.3,85.7,71.5,53.9,92.2,266.88,1.62,0,4.72,0.17,0.17,0,-0.17,-5.74
07/15/22,69.1,89.9,79.5,52.3,83.1,260.02,0.89,0,4.72,0.18,0.18,0,-0.18,-5.92
07/16/22,67.8,87.4,77.6,48.3,93.6,225.3,0.65,0,4.72,0.16,0.16,0,-0.16,-6.08
07/17/22,67.9,89.2,78.55,50.5,89.2,178.17,0.22,0.02,4.74,0.14,0.14,0,-0.12,-6.19
07/18/22,69.5,95.2,82.35,45.7,86.1,282.12,2.45,0,4.74,0.22,0.22,0,-0.22,-6.41
07/19/22,75.1,80.8,77.95,44.8,75.4,11.1,3.75,0,4.74,0.09,0.09,0,-0.09,-6.5
07/20/22,70.7,86.7,78.7,36.5,75.4,242.55,3.1,0,4.74,0.2,0.2,0,-0.2,-6.7
07/21/22,71.4,84.7,78.05,38,77.5,300.23,1.35,0,4.74,0.2,0.2,0,-0.2,-6.9
07/22/22,71.3,91.9,81.6,43.5,77.6,253.2,1.18,0,4.74,0.18,0.18,0,-0.18,-7.08
07/23/22,66.5,78.6,72.55,64.4,89.5,71.01,0.32,0.18,4.92,0.07,0.07,0,0.11,-6.97
07/24/22,63.2,79.3,71.25,47.5,93.6,265.47,1.34,0,4.92,0.17,0.17,0,-0.17,-7.13
07/25/22,53.7,78.3,66,41,90.7,268.89,0.54,0,4.92,0.16,0.16,0,-0.16,-7.29
07/26/22,61.3,78.1,69.7,57.5,89.8,95.41,1.07,0.21,5.13,0.08,0.08,0,0.13,-7.16
07/27/22,60.7,81.1,70.9,40.8,92.8,271.64,1.64,0.01,5.14,0.17,0.17,0,-0.16,-7.32
07/28/22,58.1,75.7,66.9,51.4,81.1,203.41,1.36,0,5.14,0.13,0.13,0,-0.13,-7.45
07/29/22,57.6,79.1,68.35,47.5,87.4,222.95,0.45,0,5.14,0.14,0.14,0,-0.14,-7.59
07/30/22,58.2,88.1,73.15,42.3,88.3,265.55,2.45,0,5.14,0.19,0.19,0,-0.19,-7.78
07/31/22,65.3,84.4,74.85,58.7,86.4,185.6,3.02,0.23,5.37,0.15,0.15,0,0.08,-7.69
08/01/22,65.1,83.7,74.4,42.4,82,280.72,1,0.01,5.38,0.18,0.18,0,-0.17,-7.86
08/02/22,63.5,95.6,79.55,54.4,81.7,246.61,3.93,0,5.38,0.21,0.21,0,-0.21,-8.07
08/03/22,66.9,86,76.45,39.2,80.7,265.06,2.1,0.19,5.57,0.19,0.19,0,0,-8.06
08/04/22,57.7,88.7,73.2,39.1,87.7,273.93,0.24,0,5.57,0.17,0.17,0,-0.17,-8.24
08/05/22,68,90.6,79.3,46.7,77,266,4.45,0,5.57,0.22,0.22,0,-0.22,-8.46
08/06/22,68.3,79.3,73.8,73,93.4,50.84,0.65,0.35,5.92,0.05,0.05,0,0.3,-8.16
08/07/22,59.5,76.9,68.2,67.7,94.1,101.39,0.35,0.82,6.74,0.08,0.08,0,0.74,-7.42
08/08/22,54.9,76.8,65.85,53.2,94.8,241.15,0.16,0.01,6.75,0.14,0.14,0,-0.13,-7.55
08/09/22,57.1,85.3,71.2,45.3,93.4,274.41,0.93,0,6.75,0.17,0.17,0,-0.17,-7.71
08/10/22,64.9,85.5,75.2,45.6,87.4,254.15,0.34,0,6.75,0.16,0.16,0,-0.16,-7.88
08/11/22,63.2,84.2,73.7,43.8,77.4,229.08,0.25,0,6.75,0.15,0.15,0,-0.15,-8.03
08/12/22,59.7,71.7,65.7,58.9,93.1,86.02,2.7,1.37,8.12,0.08,0.08,0,1.29,-6.74
08/13/22,60.6,70.8,65.7,70.9,87.4,109.75,0.66,0,8.12,0.08,0.08,0,-0.08,-6.81
08/14/22,56,74.2,65.1,64.4,94.5,181.56,0.17,0,8.12,0.11,0.11,0,-0.11,-6.92
08/15/22,57.1,77.5,67.3,60.3,95.5,143.19,0.75,0,8.12,0.1,0.1,0,-0.1,-7.02
08/16/22,63.2,82.6,72.9,52.7,93.2,156.18,0.56,0,8.12,0.11,0.11,0,-0.11,-7.13
08/17/22,61.6,82.8,72.2,57.7,92.1,179.74,0.88,0.06,8.18,0.12,0.12,0,-0.06,-7.19
08/18/22,61.8,79.5,70.65,60.7,92.2,163.49,0.99,0.36,8.54,0.11,0.11,0,0.25,-6.94
08/19/22,60.9,75.6,68.25,67.8,91.1,126.39,1.18,0.14,8.68,0.09,0.09,0,0.05,-6.88
08/20/22,62.3,76.5,69.4,66.7,94.5,174.11,0.6,0.01,8.69,0.11,0.11,0,-0.1,-6.98
08/21/22,57.8,81.7,69.75,50.7,95.5,206.02,0.1,0,8.69,0.13,0.13,0,-0.13,-7.11
08/22/22,57.7,82.6,70.15,45.6,94.9,201.75,0.05,0,8.69,0.13,0.13,0,-0.13,-7.24
08/23/22,57.5,85.7,71.6,48.1,92.9,233.36,0.69,0,8.69,0.14,0.14,0,-0.14,-7.38
08/24/22,68.1,83.8,75.95,59.9,88.6,147.07,0.72,0,8.69,0.11,0.11,0,-0.11,-7.49
08/25/22,62.9,77.6,70.25,60.7,91.3,179.74,0.3,0,8.69,0.11,0.11,0,-0.11,-7.6
08/26/22,57.6,81.4,69.5,48.3,90.4,215.64,0.74,0,8.69,0.13,0.13,0,-0.13,-7.73
08/27/22,65.2,77.8,71.5,70.7,93,80.6,2.54,0.68,9.37,0.07,0.07,0,0.61,-7.12
08/28/22,66.4,80.5,73.45,72.6,92.6,84.77,2.04,0.65,10.02,0.07,0.07,0,0.58,-6.54
08/29/22,64.7,78.2,71.45,48.5,90.6,226.79,2.29,0.02,10.04,0.14,0.14,0,-0.12,-6.67
08/30/22,60.2,78.7,69.45,48.6,76.2,227.95,1.12,0,10.04,0.13,0.13,0,-0.13,-6.8
08/31/22,59.8,87.9,73.85,43.3,86.9,230,0.51,0,10.04,0.14,0.14,0,-0.14,-6.94
09/01/22,63.9,90,76.95,50,92.3,232.48,1.16,0,10.04,0.15,0.15,0,-0.15,-7.09
09/02/22,67.6,86.7,77.15,56.6,76.6,200.61,3.22,0,10.04,0.15,0.15,0,-0.15,-7.24
09/03/22,55.8,74.9,65.35,51.3,82.3,226.47,0.64,0,10.04,0.12,0.12,0,-0.12,-7.36
09/04/22,49.2,75.7,62.45,50.7,90.1,229.49,0.19,0,10.04,0.12,0.12,0,-0.12,-7.48
09/05/22,53,76.6,64.8,56.8,94.7,179.11,0.64,0,10.04,0.1,0.1,0,-0.1,-7.58
09/06/22,61.6,83.9,72.75,57.9,82.1,181.85,1,0,10.04,0.11,0.11,0,-0.11,-7.7
09/07/22,65.5,87.9,76.7,52.8,93.1,192.89,0.45,0,10.04,0.13,0.13,0,-0.13,-7.82
09/08/22,66.8,86.1,76.45,52.1,83.8,180.8,5.11,0,10.04,0.16,0.16,0,-0.16,-7.98
09/09/22,58.3,75.6,66.95,68.3,94.2,43.77,0.86,0.09,10.13,0.05,0.05,0,0.04,-7.94
09/10/22,53.1,71.1,62.1,46.5,95.7,162.56,0.23,0.01,10.14,0.09,0.09,0,-0.08,-8.02
09/11/22,47.1,72.9,60,39.2,93.1,195.61,0.07,0,10.14,0.1,0.1,0,-0.1,-8.12
09/12/22,48.2,75.5,61.85,41.2,91.6,201.29,0.17,0,10.14,0.1,0.1,0,-0.1,-8.22
09/13/22,50.8,80.4,65.6,39.6,94.6,184.48,0.11,0,10.14,0.1,0.1,0,-0.1,-8.32
09/14/22,53.6,77.5,65.55,51.9,93.6,164.53,1.48,0,10.14,0.1,0.1,0,-0.1,-8.42
09/15/22,64.6,86.3,75.45,46.3,77.2,152.57,4.75,0,10.14,0.15,0.15,0,-0.15,-8.57
09/16/22,64.7,77.6,71.15,62.1,90.1,97.79,2.15,0.03,10.17,0.08,0.08,0,-0.05,-8.62
09/17/22,65.1,83,74.05,56.8,88.2,145.7,2.39,0.01,10.18,0.11,0.11,0,-0.1,-8.72
09/18/22,57.9,72,64.95,70.2,94.1,60.71,1.17,0,10.18,0.05,0.05,0,-0.05,-8.77
09/19/22,52.1,81.7,66.9,43.7,96.2,189.01,1.44,0,10.18,0.11,0.11,0,-0.11,-8.87
09/20/22,63.8,91.1,77.45,58.5,92.1,165.41,1,0.11,10.29,0.11,0.11,0,0,-8.87
09/21/22,51.8,68.6,60.2,55.5,82.2,156.31,2.06,0.01,10.3,0.09,0.09,0,-0.08,-8.95
09/22/22,44.8,64.5,54.65,47.6,91.7,177.21,0.11,0.01,10.31,0.08,0.08,0,-0.07,-9.01
09/23/22,51.2,55.6,53.4,65.8,90.6,37.82,3,0.08,10.39,0.04,0.04,0,0.04,-8.98
09/24/22,52.1,67.7,59.9,65,90.7,74.85,1.67,0.02,10.41,0.05,0.05,0,-0.03,-9.01
09/25/22,52.2,68.4,60.3,43.1,86.5,167.96,2.66,0,10.41,0.09,0.09,0,-0.09,-9.11
09/26/22,44.6,62.7,53.65,38,75.5,174.56,2.21,0,10.41,0.09,0.09,0,-0.09,-9.19
09/27/22,39.6,58,48.8,37.7,82.3,188.01,0.76,0,10.41,0.07,0.07,0,-0.07,-9.26
09/28/22,33.7,61.6,47.65,42.5,94.6,171.32,0.79,0,10.41,0.07,0.07,0,-0.07,-9.33
09/29/22,44.1,70.5,57.3,32,67.8,177.81,4.01,0,10.41,0.12,0.12,0,-0.12,-9.45
09/30/22,51.2,72.9,62.05,41.8,70.2,130.29,2.57,0,10.41,0.09,0.09,0,-0.09,-9.54
10/01/22,54.8,71,62.9,51.6,77.3,92.19,0.31,0,10.41,0.06,0.06,0,-0.06,-9.6
10/02/22,51.7,73.4,62.55,42.4,93,136.61,1.55,0,10.41,0.08,0.08,0,-0.08,-9.67
10/03/22,57.6,76,66.8,42.4,75.8,130.1,3.35,0,10.41,0.1,0.1,0,-0.1,-9.78
10/04/22,57.7,76.6,67.15,44.1,68.2,113.03,2.33,0,10.41,0.09,0.09,0,-0.09,-9.86
10/05/22,54.8,72,63.4,58.4,84.2,98.41,0.58,0,10.41,0.06,0.06,0,-0.06,-9.92
10/06/22,43.8,60.2,52,50.5,87.8,131.88,1.85,0,10.41,0.06,0.06,0,-0.06,-9.98
10/07/22,33.5,46.7,40.1,57.5,87.9,65.21,0.31,0.02,10.43,0.03,0.03,0,-0.01,-10
10/08/22,30.9,62.4,46.65,33.2,85.4,159.89,2.13,0.01,10.44,0.07,0.07,0,-0.06,-10.06
10/09/22,38.6,67.3,52.95,43,79.8,160.7,0.14,0,10.44,0.06,0.06,0,-0.06,-10.12
10/10/22,41.3,71.5,56.4,34.5,83,153.19,1.51,0,10.44,0.07,0.07,0,-0.07,-10.19
10/11/22,55.1,79.9,67.5,46.3,73.8,141.99,6.19,0,10.44,0.13,0.13,0,-0.13,-10.32
10/12/22,43.5,67.7,55.6,49.2,82.9,69.66,2.5,0.15,10.59,0.06,0.06,0,0.09,-10.23
10/13/22,34.8,43.5,39.15,57.3,72.7,47.15,2.31,0.01,10.6,0.04,0.04,0,-0.03,-10.26
10/14/22,31.3,40.5,35.9,69.7,92.6,41.97,0.42,0.18,10.78,0.02,0.02,0,0.16,-10.1
10/15/22,30.7,54.3,42.5,52.5,93.2,92.07,1.9,0.01,10.79,0.04,0.04,0,-0.03,-10.14
10/16/22,34,46.8,40.4,55.3,76.9,60.23,2.97,0,10.79,0.04,0.04,0,-0.04,-10.18
10/17/22,27,39.1,33.05,44.3,71.3,116.19,2.62,0,10.79,0.04,0.04,0,-0.04,-10.22
10/18/22,22.8,42.8,32.8,40,72.2,144.07,1.59,0,10.79,0.04,0.04,0,-0.04,-10.26
10/19/22,22.6,47.1,34.85,28.3,80,115.41,0.62,0,10.79,0.04,0.04,0,-0.04,-10.29
10/20/22,31.8,60.1,45.95,39.2,62.6,107.7,0.65,0,10.79,0.04,0.04,0,-0.04,-10.34
10/21/22,46.8,67.5,57.15,38.4,68.5,111.45,1.18,0,10.79,0.05,0.05,0,-0.05,-10.39
10/22/22,42.2,76.6,59.4,36.3,78.4,124.84,1.62,0,10.79,0.06,0.06,0,-0.06,-10.45
10/23/22,59.1,76.3,67.7,54.7,71.6,115.52,5.22,0,10.79,0.1,0.1,0,-0.1,-10.55
10/24/22,45.1,69.4,57.25,63.2,89.2,30.61,5.11,0.13,10.92,0.06,0.06,0,0.07,-10.48
10/25/22,34.2,49,41.6,56.8,87.8,72.14,1.71,0,10.92,0.03,0.03,0,-0.03,-10.51
10/26/22,33.1,50.6,41.85,52.1,89.4,125.18,0.71,0,10.92,0.03,0.03,0,-0.03,-10.54
10/27/22,38.6,55.5,47.05,54.4,81.6,64.43,1.82,0,10.92,0.04,0.04,0,-0.04,-10.58
10/28/22,44.3,62.7,53.5,43.2,74.7,116.83,3.16,0,10.92,0.06,0.06,0,-0.06,-10.64
10/29/22,42.2,68,55.1,48.3,76.9,114.55,2.89,0,10.92,0.06,0.06,0,-0.06,-10.7
10/30/22,40.8,57.3,49.05,59.3,76.3,74.28,0.58,0,10.92,0.03,0.03,0,-0.03,-10.74
10/31/22,33.8,64.9,49.35,28.8,87.5,138.96,0.82,0,10.92,0.04,0.04,0,-0.04,-10.77
